subject,predicate,object,count
drugbank,var,hgnc,2833
drugbank,var,kegg,70938
drugbank,var,omim,23614
drugbank,var,sider,14955
go,var,kegg,294
go,var,omim,42
hgnc,var,drugbank,2835
hgnc,var,kegg,1416
hgnc,var,sider,1414
kegg,var,drugbank,72864
kegg,var,go,294
kegg,var,hgnc,1405
kegg,var,omim,22907
kegg,var,sider,14906
omim,var,drugbank,28909
omim,var,go,42
omim,var,kegg,28488
omim,var,sider,716
sider,var,drugbank,13646
sider,var,hgnc,1433
sider,var,kegg,13678
sider,var,omim,720
